"value","European Union & Foreign Affairs","Parliamentary Procedures","Environment & Energy","Health & Healthcare","Welfare & Social Housing","Education & Learning","Economy & Financial Services","Standards & Technology","Crime & Justice","Defence & Armed Forces","Immigration & Borders"
"Anne Marie Morris",0.163498098859316,0.319018404907975,0.0515463917525773,0.126760563380282,0.106508875739645,0.179487179487179,0.935779816513762,0.898305084745763,0.642857142857143,0.865384615384615,0.954337899543379
"Vicky Ford",0.228136882129278,0.429447852760736,0.34020618556701,0.28169014084507,0.331360946745562,0.384615384615385,0.862385321100917,0.847457627118644,0.412698412698413,0.923076923076923,0.835616438356164
"Steve Tuckwell",0.536121673003802,0.515337423312883,0.536082474226804,0.492957746478873,0.502958579881657,0.487179487179487,0.486238532110092,0.423728813559322,0.420634920634921,0.490384615384615,0.502283105022831
"Julie Marson",0.4106463878327,0.460122699386503,0.185567010309278,0.338028169014085,0.366863905325444,0.307692307692308,0.678899082568807,0.593220338983051,0.412698412698413,0.817307692307692,0.858447488584475
"Johnny Mercer",0.186311787072243,0.429447852760736,0.360824742268041,0.408450704225352,0.289940828402367,0.256410256410256,0.972477064220184,0.627118644067797,0.373015873015873,0.778846153846154,0.82648401826484
"Suzanne Webb",0.429657794676806,0.45398773006135,0.216494845360825,0.338028169014085,0.372781065088757,0.282051282051282,0.688073394495413,0.542372881355932,0.357142857142857,0.817307692307692,0.936073059360731
"David Jones",0.121673003802281,0.0429447852760736,0.144329896907216,0.380281690140845,0.0650887573964497,0.41025641025641,0.715596330275229,0.847457627118644,0.706349206349206,0.942307692307692,0.794520547945205
"Shailesh Vara",0.144486692015209,0.165644171779141,0.206185567010309,0.394366197183099,0.171597633136095,0.230769230769231,0.660550458715596,0.796610169491525,0.777777777777778,0.971153846153846,0.867579908675799
"Alok Sharma",0.243346007604563,0.0797546012269939,0.195876288659794,0.267605633802817,0.0946745562130177,0.230769230769231,0.761467889908257,0.915254237288136,0.674603174603175,0.846153846153846,0.616438356164384
"Maria Caulfield",0.152091254752852,0.429447852760736,0.175257731958763,0.28169014084507,0.260355029585799,0.128205128205128,0.908256880733945,0.796610169491525,0.484126984126984,0.846153846153846,0.954337899543379
"Greg Smith",0.403041825095057,0.45398773006135,0.206185567010309,0.309859154929577,0.355029585798817,0.282051282051282,0.697247706422018,0.559322033898305,0.404761904761905,0.855769230769231,0.940639269406393
"Virginia Crosbie",0.429657794676806,0.45398773006135,0.257731958762887,0.352112676056338,0.366863905325444,0.256410256410256,0.706422018348624,0.559322033898305,0.412698412698413,0.855769230769231,0.940639269406393
"Jim Shannon",0.133079847908745,0.699386503067485,0.422680412371134,0.647887323943662,0.544378698224852,0.615384615384615,0.788990825688073,0.76271186440678,0.547619047619048,0.615384615384615,0.383561643835616
"George Freeman",0.250950570342205,0.0613496932515337,0.175257731958763,0.126760563380282,0.0828402366863905,0.153846153846154,0.688073394495413,0.847457627118644,0.714285714285714,0.884615384615385,0.958904109589041
"Jamie Wallis",0.490494296577947,0.460122699386503,0.288659793814433,0.366197183098592,0.402366863905325,0.435897435897436,0.669724770642202,0.677966101694915,0.579365079365079,0.836538461538462,0.840182648401826
"Dean Russell",0.422053231939163,0.47239263803681,0.185567010309278,0.309859154929577,0.355029585798817,0.307692307692308,0.660550458715596,0.593220338983051,0.388888888888889,0.846153846153846,0.940639269406393
"Oliver Heald",0.163498098859316,0.0674846625766871,0.206185567010309,0.309859154929577,0.106508875739645,0.128205128205128,0.642201834862385,0.830508474576271,0.865079365079365,0.903846153846154,0.986301369863014
"Gavin Robinson",0.201520912547529,0.50920245398773,0.45360824742268,0.450704225352113,0.414201183431953,0.41025641025641,0.660550458715596,0.610169491525424,0.642857142857143,0.586538461538462,0.438356164383562
"James Morris",0.224334600760456,0.0368098159509202,0.0824742268041237,0.0563380281690141,0.0591715976331361,0.0769230769230769,0.761467889908257,0.864406779661017,0.857142857142857,0.865384615384615,0.926940639269406
