about,title,date_value,search_url,
104499,"Census, Main Question put forthwith (Order, 23 November)",01/12/2009,"https://hansard.parliament.uk/search/Divisions?startDate=2009-12-01&endDate=2009-12-01&searchTerm=Census, Ma&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1",
104500,"That the draft Criminal Defence Service (Representation Orders) (Amendment) Regulations 2009, which were laid before this House on 28 October, in the previous Session of Parliament, be approved",01/12/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-12-01&endDate=2009-12-01&searchTerm=That the d&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104496,"Financial Services Bill (Programme) Motion made, and Question put forthwith (Standing Order No. 83A (7))",30/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-30&endDate=2009-11-30&searchTerm=Financial &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Financial Services Bill 2009-11-30.txt
104494,"Taxation (international and other Provisions) Bill, that the amendment by Mr George Osborne be made",26/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-26&endDate=2009-11-26&searchTerm=Taxation (&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104495,"Taxation (international and other Provisions) Bill, Question put forthwith, That the Amendment be made (Standing Order No. 33)",26/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-26&endDate=2009-11-26&searchTerm=Taxation (&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104492,"Adjournment (Christmas), That this House, at its rising on Wednesday 16 December 2009, do adjourn till Tuesday 5 January 2010",25/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-25&endDate=2009-11-25&searchTerm=Adjournmen&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104493,"Home Office and Work and Pensions, Question put accordingly, That the amendment be made",25/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-25&endDate=2009-11-25&searchTerm=Home Offic&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Home Office and Work and Pensions 2009-11-25.txt
104491,"Coroners and Justice Bill, Question put, That amendment (a) to Lords amendment 1B be made",12/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-12&endDate=2009-11-12&searchTerm=Coroners a&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Coroners and Justice Bill 2009-11-12.txt
104489,"Apprenticeships, Skills, Children and Learning bill (Programme) (no.2)) Motion made, and Question put forthwith (Standing Order No. 83A",11/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-11&endDate=2009-11-11&searchTerm=Apprentice&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
104490,"Apprenticeships, Skills, Children and Learning Bill, Amendment (a) proposed to Lords amendment 124",11/11/2009,https://hansard.parliament.uk/search/Divisions?startDate=2009-11-11&endDate=2009-11-11&searchTerm=Apprentice&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,"Apprenticeships, Skills, Children and Learning Bill 2009-11-11.txt"
