about,title,date_value,search_url,
1660325,Procurement Bill [Lords]: Motion to disagree with Lords Amendment 102B,13/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-13&endDate=2023-09-13&searchTerm=Procuremen&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Procurement Bill [Lords] 2023-09-13.txt
1660363,Economic Crime and Corporate Transparency Bill: Motion to disagree with 151B and 151C and to insist on 151A,13/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-13&endDate=2023-09-13&searchTerm=Economic C&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Economic Crime and Corporate Transparency Bill 2023-09-13.txt
1660364,Draft Windsor Framework (Enforcement etc.) Regulations 2023,13/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-13&endDate=2023-09-13&searchTerm=Draft Wind&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1659952,Representation of the People (Postal and Proxy Voting etc.) (Amendment) Regulations 2023,12/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-12&endDate=2023-09-12&searchTerm=Representa&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1659953,Misuse of Drugs Act 1971 (Amendment) Order 2023,12/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-12&endDate=2023-09-12&searchTerm=Misuse of &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Dangerous Drugs 2023-09-12.txt
1658500,Northern Ireland Troubles (legacy and Reconciliation) Bill: Motion to disagree,06/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-06&endDate=2023-09-06&searchTerm=Northern I&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Northern Ireland Troubles  (Legacy and Reconciliation) Bill 2023-09-06.txt
1658539,Opposition day: Safety of School Buildings,06/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-06&endDate=2023-09-06&searchTerm=Opposition&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Safety of School Buildings 2023-09-06.txt
1658092,Energy Bill [Lords] Report Stage: New Clause 12,05/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-05&endDate=2023-09-05&searchTerm=Energy Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Energy Bill [Lords] 2023-09-05.txt
1658093,Energy Bill [Lords] Report Stage: New Clause 39,05/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-05&endDate=2023-09-05&searchTerm=Energy Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Energy Bill [Lords] 2023-09-05.txt
1658094,Energy Bill [Lords] Report Stage: New Clause 57,05/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-05&endDate=2023-09-05&searchTerm=Energy Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Energy Bill [Lords] 2023-09-05.txt
1658096,Energy Bill [Lords] Report Stage: New Clause 59,05/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-05&endDate=2023-09-05&searchTerm=Energy Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Energy Bill [Lords] 2023-09-05.txt
1658097,Energy Bill [Lords] Report Stage: New Clause 61,05/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-05&endDate=2023-09-05&searchTerm=Energy Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Energy Bill [Lords] 2023-09-05.txt
1658099,Energy Bill [Lords]: Third Reading,05/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-05&endDate=2023-09-05&searchTerm=Energy Bil&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Energy Bill [Lords] 2023-09-05.txt
1657545,Economic Crime and Corporate Transparency Bill: Amendment (a) to Lords Amendment 23,04/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-04&endDate=2023-09-04&searchTerm=Economic C&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Economic Crime and Corporate Transparency Bill 2023-09-04.txt
1657546,Economic Crime and Corporate Transparency Bill: Amendment (a) to Lords Amendment 151,04/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-04&endDate=2023-09-04&searchTerm=Economic C&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Economic Crime and Corporate Transparency Bill 2023-09-04.txt
1657547,Economic Crime and Corporate Transparency Bill: Motion to disagree with Lords Amendment 117,04/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-04&endDate=2023-09-04&searchTerm=Economic C&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Economic Crime and Corporate Transparency Bill 2023-09-04.txt
1657548,Economic Crime and Corporate Transparency Bill: Motion to disagree with Lords Amendment 159,04/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-04&endDate=2023-09-04&searchTerm=Economic C&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Economic Crime and Corporate Transparency Bill 2023-09-04.txt
1657549,Economic Crime and Corporate Transparency Bill: Motion to disagree with Lords Amendment 161,04/09/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-09-04&endDate=2023-09-04&searchTerm=Economic C&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Economic Crime and Corporate Transparency Bill 2023-09-04.txt
1653778,Northern Ireland Troubles (Legacy and Reconciliation) Bill: Motion to disagree with Lords Amendment 44 ,18/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-18&endDate=2023-07-18&searchTerm=Northern I&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Northern Ireland Troubles  (Legacy and Reconciliation) Bill 2023-07-18.txt
1654097,Draft Postal Packets (Miscellaneous Amendments) Order 2023,18/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-18&endDate=2023-07-18&searchTerm=Draft Post&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1653326,"Illegal Migration Bill: motion to disagree with Lords Amendments 1B, 7B and 90B",17/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-17&endDate=2023-07-17&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-17.txt
1653333,Illegal Migration Bill: motion to disagree with Lords Amendment 9B,17/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-17&endDate=2023-07-17&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-17.txt
1653334,Illegal Migration Bill: motion to disagree with Lords Amendment 23B,17/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-17&endDate=2023-07-17&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-17.txt
1653335,Illegal Migration Bill: motion to disagree with Lords Amendments 36C and 36D,17/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-17&endDate=2023-07-17&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-17.txt
1653336,Illegal Migration Bill: motion to disagree with Lords Amendment 33B,17/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-17&endDate=2023-07-17&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-17.txt
1653337,Illegal Migration Bill: motion to disagree with Lords Amendment 56B,17/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-17&endDate=2023-07-17&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-17.txt
1653339,Illegal Migration Bill: motion to disagree with Lords Amendment 103B,17/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-17&endDate=2023-07-17&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-17.txt
1653340,Illegal Migration Bill: motion to disagree with Lords Amendment 102B,17/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-17&endDate=2023-07-17&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-17.txt
1653341,Illegal Migration Bill: motion to disagree with Lords Amendments 107B and 107C,17/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-17&endDate=2023-07-17&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-17.txt
1653344,Strikes (Minimum Service Levels) Bill: motion to disagree with Lords Amendment 2D,17/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-17&endDate=2023-07-17&searchTerm=Strikes (M&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Strikes (Minimum Service Levels) Bill 2023-07-17.txt
1652245,"Adjournment (Summer, Conference and Christmas Recess)",12/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-12&endDate=2023-07-12&searchTerm=Adjournmen&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,"ADJOURNMENT (SUMMER, CONFERENCE AND CHRISTMAS) 2023-07-12.txt"
1651836,Illegal Migration Bill: motion to disagree with Lords Amendment 1,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651837,Illegal Migration Bill: motion to disagree with Lords Amendment 6,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651844,Illegal Migration Bill: motion to disagree with Lords Amendment 8,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651845,Illegal Migration Bill: motion to disagree with Lords Amendment 9,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651846,Illegal Migration Bill: motion to disagree with Lords Amendment 23,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651847,Illegal Migration Bill: motion to disagree with Lords Amendment 31,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651848,Illegal Migration Bill: motion to disagree with Lords Amendment 33,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651849,"Illegal Migration Bill: Government Amendments (a) and (b) in lieu of Lords Amendments 31, 35 & 36",11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651850,Illegal Migration Bill: motion to disagree with Lords Amendment 39,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651851,Illegal Migration Bill: motion to disagree with Lords Amendment 50,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651909,Illegal Migration Bill: motion to disagree with Lords Amendment 56,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651910,Illegal Migration Bill: motion to disagree with Lords Amendment 73,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651911,Illegal Migration Bill: motion to disagree with Lords Amendment 90,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651913,Illegal Migration Bill: motion to disagree with Lords Amendment 93,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651914,Illegal Migration Bill: motion to disagree with Lords Amendment 95,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651916,Illegal Migration Bill: motion to disagree with Lords Amendment 102,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651917,Illegal Migration Bill: motion to disagree with Lords Amendment 103,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1651919,Illegal Migration Bill: motion to disagree with Lords Amendment 104,11/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-11&endDate=2023-07-11&searchTerm=Illegal Mi&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Illegal Migration Bill 2023-07-11.txt
1649487,Economic Activity of Public Bodies (Overseas Matters) Bill: Reasoned Amendment on Second Reading,03/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-03&endDate=2023-07-03&searchTerm=Economic A&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Economic Activity of Public Bodies (Overseas Matters) Bill 2023-07-03.txt
1649541,Economic Activity of Public Bodies (Overseas Matters): Second Reading,03/07/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-07-03&endDate=2023-07-03&searchTerm=Economic A&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Economic Activity of Public Bodies (Overseas Matters) Bill 2023-07-03.txt
1648435,Relationships and Sexuality Education (Northern Ireland) (Amendment) Regulations 2023,28/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-28&endDate=2023-06-28&searchTerm=Relationsh&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1648454,Holocaust Memorial Bill: Instruction (Amendment a),28/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-28&endDate=2023-06-28&searchTerm=Holocaust &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Holocaust Memorial Bill_ Committal 2023-06-28.txt
1647995,Schools (Gender and Parental Rights): Ten-Minute Rule Bill,27/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-27&endDate=2023-06-27&searchTerm=Schools (G&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Schools (Gender and Parental Rights) 2023-06-27.txt
1648052,Opposition day: Mortgage and rental costs,27/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-27&endDate=2023-06-27&searchTerm=Opposition&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1648055,Government Amendment to Opposition day debate on Mortgage and rental costs,27/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-27&endDate=2023-06-27&searchTerm=Government&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1647632,Financial Services and Markets Bill: motion to disagree with Lords Amendment 7,26/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-26&endDate=2023-06-26&searchTerm=Financial &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Financial Services and Markets Bill 2023-06-26.txt
1647634,Financial Services and Markets Bill: motion to disagree with Lords Amendment 10,26/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-26&endDate=2023-06-26&searchTerm=Financial &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Financial Services and Markets Bill 2023-06-26.txt
1647635,Financial Services and Markets Bill: motion to agree with Lords Amendment 38,26/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-26&endDate=2023-06-26&searchTerm=Financial &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Financial Services and Markets Bill 2023-06-26.txt
1647693,National Security Bill: motion to disagree with Lords Amendment 22B,26/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-26&endDate=2023-06-26&searchTerm=National S&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,National Security Bill 2023-06-26.txt
1646218,Strikes (Minimum Service Levels) Bill: motion to disagree with Lords Amendment 2B,21/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-21&endDate=2023-06-21&searchTerm=Strikes (M&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1646219,Strikes (Minimum Service Levels) Bill: motion to disagree with Lords Amendment 4B,21/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-21&endDate=2023-06-21&searchTerm=Strikes (M&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1646220,"Strikes (Minimum Service Levels) Bill: motion to disagree with Lords Amendments 5B, 5C and 5D",21/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-21&endDate=2023-06-21&searchTerm=Strikes (M&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1646259,Retained EU Law (Revocation and Reform) Bill Lords Message: motion to disagree with Lords Amendment 15D ,21/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-21&endDate=2023-06-21&searchTerm=Retained E&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Retained EU Law  (Revocation and Reform) Bill 2023-06-21.txt
1646260,Retained EU Law (Revocation and Reform) Bill Lords Message: motion to disagree with Lords Amendment 42D,21/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-21&endDate=2023-06-21&searchTerm=Retained E&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Retained EU Law  (Revocation and Reform) Bill 2023-06-21.txt
1646266,Opposition Day: Animal Welfare (Kept Animals),21/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-21&endDate=2023-06-21&searchTerm=Opposition&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1646267,Government Amendment to Opposition day debate on Animal Welfare (Kept Animals),21/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-21&endDate=2023-06-21&searchTerm=Government&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1645861,Finance (No. 2) Bill Report Stage: New Clause 7,20/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-20&endDate=2023-06-20&searchTerm=Finance (N&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Finance (No. 2) Bill 2023-06-20.txt
1645863,Finance (No. 2) Bill Report Stage: Amendment 1,20/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-20&endDate=2023-06-20&searchTerm=Finance (N&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Finance (No. 2) Bill 2023-06-20.txt
1645545,Privilege Motion,19/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-19&endDate=2023-06-19&searchTerm=Privilege &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Privilege_ Conduct of  Right Hon. Boris Johnson 2023-06-19.txt
1644573,"Draft Animal By-Products, Pet Passport and Animal Health (Fees) (England) (Amendment) Regulations 2023",14/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-14&endDate=2023-06-14&searchTerm=Draft Anim&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1644574,Opposition Day: Cost of living and Brexit,14/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-14&endDate=2023-06-14&searchTerm=Opposition&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1644021,Procurement Bill [Lords] Report Stage: New Clause 10 ,13/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-13&endDate=2023-06-13&searchTerm=Procuremen&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Procurement Bill [Lords] 2023-06-13.txt
1644022,Procurement Bill [Lords] Report Stage: Amendment 2,13/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-13&endDate=2023-06-13&searchTerm=Procuremen&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Procurement Bill [Lords] 2023-06-13.txt
1644023,Procurement Bill [Lords] Report Stage: Amendment 18 ,13/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-13&endDate=2023-06-13&searchTerm=Procuremen&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Procurement Bill [Lords] 2023-06-13.txt
1644024,Procurement Bill [Lords] Report Stage: Amendment 3,13/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-13&endDate=2023-06-13&searchTerm=Procuremen&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Procurement Bill [Lords] 2023-06-13.txt
1643554,Motion to disagree with Lords Amendment 15B,12/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-12&endDate=2023-06-12&searchTerm=Motion to &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1643559,Motion to disagree with Lords Amendment 42B,12/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-12&endDate=2023-06-12&searchTerm=Motion to &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1643561,That the draft Public Order Act 1986 (Serious Disruption to the Life of the Community) Regulations 2023 be approved,12/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-12&endDate=2023-06-12&searchTerm=That the d&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1642491,Opposition Day: Mental health treatment and support,07/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-07&endDate=2023-06-07&searchTerm=Opposition&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1642492,Opposition Day: Mental health treatment and support: Government amendment,07/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-07&endDate=2023-06-07&searchTerm=Opposition&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1642505,Opposition day: Accountability and scrutiny of Teesworks,07/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-07&endDate=2023-06-07&searchTerm=Opposition&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1642042,Committee on Standards Motion,06/06/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-06-06&endDate=2023-06-06&searchTerm=Committee &house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Committee on Standards 2023-06-06.txt
1639952,Retained EU Law (Revocation and Reform) Bill: motion to disagree with Lords Amendment  Lords Amendment 6,24/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-24&endDate=2023-05-24&searchTerm=Retained E&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Retained EU Law  (Revocation and Reform) Bill 2023-05-24.txt
1639953,Retained EU Law (Revocation and Reform) Bill: Amendment (a) to Lords Amendment 1,24/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-24&endDate=2023-05-24&searchTerm=Retained E&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Retained EU Law  (Revocation and Reform) Bill 2023-05-24.txt
1639957,Retained EU Law (Revocation and Reform) Bill: motion to disagree with Lords Amendment 42,24/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-24&endDate=2023-05-24&searchTerm=Retained E&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Retained EU Law  (Revocation and Reform) Bill 2023-05-24.txt
1640181,Retained EU Law (Revocation and Reform) Bill: motion to disagree with Lords Amendment 15,24/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-24&endDate=2023-05-24&searchTerm=Retained E&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Retained EU Law  (Revocation and Reform) Bill 2023-05-24.txt
1639556,Opposition Day - Leasehold,23/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-23&endDate=2023-05-23&searchTerm=Opposition&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1639569,Opposition Day: Safety of School Buildings,23/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-23&endDate=2023-05-23&searchTerm=Opposition&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
1639171,Non-Domestic Rating Bill Committee: Amendment 20,22/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-22&endDate=2023-05-22&searchTerm=Non-Domest&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Non-Domestic Rating Bill 2023-05-22.txt
1639178,Strikes (Minimum Service Levels) Bill: motion to disagree with Lords Amendment 1,22/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-22&endDate=2023-05-22&searchTerm=Strikes (M&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Strikes (Minimum Service Levels) Bill 2023-05-22.txt
1639181,Strikes (Minimum Service Levels) Bill: motion to disagree with Lords Amendment 2,22/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-22&endDate=2023-05-22&searchTerm=Strikes (M&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Strikes (Minimum Service Levels) Bill 2023-05-22.txt
1639183,Strikes (Minimum Service Levels) Bill: motion to disagree with Lords Amendment 4,22/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-22&endDate=2023-05-22&searchTerm=Strikes (M&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Strikes (Minimum Service Levels) Bill 2023-05-22.txt
1639186,Strikes (Minimum Service Levels) Bill: motion to disagree with Lords Amendment 5,22/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-22&endDate=2023-05-22&searchTerm=Strikes (M&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,Strikes (Minimum Service Levels) Bill 2023-05-22.txt
1627999,Opposition Day: Cost of living,16/05/2023,https://hansard.parliament.uk/search/Divisions?startDate=2023-05-16&endDate=2023-05-16&searchTerm=Opposition&house=Commons&includeCommitteeDivisions=False&partial=False&sortOrder=1,
